sample_id,Observed_ASVs,Shannon,Simpson,Chao1,Total_Reads,site_name,site_type,water_quality,ecological_notes,replicate
QZ_A_1,43,1.894,0.702,136.5,287,泉州湾河口,河口区,受污染,互花米草入侵,1
QZ_A_2,29,1.594,0.642,50.9,289,泉州湾河口,河口区,受污染,互花米草入侵,2
QZ_A_3,43,1.819,0.676,200.5,290,泉州湾河口,河口区,受污染,互花米草入侵,3
QZ_B_1,49,2.157,0.791,172.5,304,围头湾,海湾,保护良好,红树林健康,1
QZ_B_2,55,2.27,0.799,572.5,303,围头湾,海湾,保护良好,红树林健康,2
QZ_B_3,49,2.088,0.776,336.0,308,围头湾,海湾,保护良好,红树林健康,3
QZ_C_1,50,1.963,0.708,124.0,374,大港湾,海湾,养殖区,经济贝类养殖,1
QZ_C_2,56,1.973,0.703,416.3,388,大港湾,海湾,养殖区,经济贝类养殖,2
QZ_C_3,61,2.048,0.713,776.5,374,大港湾,海湾,养殖区,经济贝类养殖,3
QZ_R_1,30,1.555,0.61,93.2,259,晋江中游,河流,淡水,城市河流,1
QZ_R_2,35,1.648,0.635,252.5,260,晋江中游,河流,淡水,城市河流,2
QZ_R_3,31,1.627,0.631,77.2,264,晋江中游,河流,淡水,城市河流,3
